58.75	219.75	10.5	-121.25	39.75
58.75	219.25	17.2	-121.25	39.25
58.75	218.75	16.7	-121.25	38.75
58.75	218.25	16.9	-121.25	38.25
58.75	217.75	17.3	-121.25	37.75
58.75	217.25	14.7	-121.25	37.25
58.75	216.75	14.0	-121.25	36.75
58.75	216.25	13.8	-121.25	36.25
58.75	215.75	9.9	-121.25	35.75
59.25	228.75	3.9	-120.75	48.75
59.25	228.25	0.9	-120.75	48.25
59.25	227.75	7.2	-120.75	47.75
59.25	227.25	4.0	-120.75	47.25
59.25	226.75	8.8	-120.75	46.75
59.25	226.25	6.5	-120.75	46.25
59.25	225.75	7.6	-120.75	45.75
59.25	225.25	8.9	-120.75	45.25
59.25	224.75	9.0	-120.75	44.75
59.25	224.25	6.5	-120.75	44.25
59.25	223.75	5.3	-120.75	43.75
59.25	223.25	6.4	-120.75	43.25
59.25	222.75	8.5	-120.75	42.75
59.25	222.25	6.3	-120.75	42.25
59.25	221.75	6.7	-120.75	41.75
59.25	221.25	5.0	-120.75	41.25
59.25	220.75	6.0	-120.75	40.75
59.25	220.25	8.0	-120.75	40.25
59.25	219.75	4.7	-120.75	39.75
59.25	219.25	11.7	-120.75	39.25
59.25	218.75	12.9	-120.75	38.75
59.25	218.25	15.3	-120.75	38.25
59.25	217.75	16.5	-120.75	37.75
59.25	217.25	16.7	-120.75	37.25
59.25	216.75	17.0	-120.75	36.75
59.25	216.25	14.2	-120.75	36.25
59.25	215.75	15.3	-120.75	35.75
59.25	215.25	13.8	-120.75	35.25
59.75	228.75	1.0	-120.25	48.75
59.75	228.25	3.8	-120.25	48.25
59.75	227.75	8.2	-120.25	47.75
59.75	227.25	5.5	-120.25	47.25
59.75	226.75	8.5	-120.25	46.75
59.75	226.25	10.9	-120.25	46.25
59.75	225.75	11.9	-120.25	45.75
59.75	225.25	8.4	-120.25	45.25
59.75	224.75	11.9	-120.25	44.75
59.75	224.25	5.6	-120.25	44.25
59.75	223.75	5.4	-120.25	43.75
59.75	223.25	6.3	-120.25	43.25
59.75	222.75	8.5	-120.25	42.75
